epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,69.7898,1.0808,0.76767,1.07418,0.93959,0.91493,0.9525,0.60749,1.27099,0.82019,1.17394,0.0011882,0.0011882,0.0011882
43,71.4251,1.15864,0.79447,1.11175,0.95099,0.91309,0.95092,0.61734,1.26498,0.80053,1.16845,0.0011684,0.0011684,0.0011684
44,73.1413,1.18401,0.81539,1.12149,0.96164,0.88482,0.94732,0.61647,1.26708,0.79447,1.16866,0.0011486,0.0011486,0.0011486
45,74.7665,1.1122,0.79653,1.07901,0.93708,0.90588,0.9559,0.61591,1.28306,0.7962,1.18506,0.0011288,0.0011288,0.0011288
46,76.3898,1.12074,0.78526,1.11281,0.97431,0.89412,0.96135,0.61941,1.27546,0.79237,1.17641,0.001109,0.001109,0.001109
47,78.0554,1.08583,0.72926,1.07401,0.92039,0.95205,0.96679,0.60771,1.283,0.79059,1.17697,0.0010892,0.0010892,0.0010892
48,79.7168,1.07121,0.75614,1.0687,0.91103,0.96372,0.9679,0.60898,1.32861,0.7783,1.18487,0.0010694,0.0010694,0.0010694
49,81.3365,1.12731,0.76915,1.0942,0.94183,0.9525,0.9738,0.60672,1.31943,0.78606,1.20072,0.0010496,0.0010496,0.0010496
50,82.9697,1.11323,0.77557,1.10156,0.91079,0.96471,0.97029,0.60347,1.27233,0.77955,1.17579,0.0010298,0.0010298,0.0010298
51,84.605,1.11499,0.73997,1.08257,1,0.89129,0.97322,0.60935,1.2428,0.76494,1.16334,0.00101,0.00101,0.00101
52,86.2571,1.07034,0.7586,1.0667,0.9992,0.89412,0.97173,0.63048,1.21425,0.71868,1.15161,0.0009902,0.0009902,0.0009902
53,87.9374,1.06234,0.71279,1.04556,0.99355,0.89412,0.96733,0.62145,1.23556,0.73275,1.16298,0.0009704,0.0009704,0.0009704
54,89.582,1.08971,0.72674,1.077,0.99436,0.89412,0.95158,0.61913,1.25027,0.75687,1.16917,0.0009506,0.0009506,0.0009506
55,91.2166,1.05288,0.74919,1.07529,1,0.89185,0.93771,0.61845,1.25261,0.78125,1.17452,0.0009308,0.0009308,0.0009308
56,92.8857,1.07417,0.72424,1.07295,0.9906,0.89412,0.93699,0.62199,1.22004,0.76284,1.16324,0.000911,0.000911,0.000911
57,94.5186,1.03465,0.72212,1.06216,0.98656,0.86382,0.93809,0.62418,1.23257,0.77546,1.17259,0.0008912,0.0008912,0.0008912
58,96.16,1.03494,0.71938,1.05127,0.93416,0.91765,0.93944,0.61411,1.23247,0.77947,1.171,0.0008714,0.0008714,0.0008714
59,97.792,1.00638,0.70416,1.04832,0.89813,0.93351,0.93918,0.62908,1.23057,0.77424,1.16982,0.0008516,0.0008516,0.0008516
60,99.4429,0.99327,0.68336,1.03099,0.94597,0.90588,0.95351,0.62363,1.22342,0.72205,1.17725,0.0008318,0.0008318,0.0008318
61,101.086,1.02032,0.67577,1.02163,0.9465,0.89412,0.95419,0.61874,1.24499,0.72188,1.18249,0.000812,0.000812,0.000812
62,102.718,1.01068,0.67482,1.03305,0.95051,0.90386,0.95229,0.61798,1.26943,0.72507,1.19082,0.0007922,0.0007922,0.0007922
63,104.351,1.00498,0.65007,1.02912,0.94838,0.89412,0.94929,0.61763,1.26105,0.7321,1.19035,0.0007724,0.0007724,0.0007724
64,106.001,1.02583,0.6724,1.04147,0.95756,0.88235,0.94333,0.62109,1.22868,0.72986,1.17396,0.0007526,0.0007526,0.0007526
65,107.635,1.00625,0.67391,1.05021,0.94908,0.87713,0.93852,0.61383,1.26055,0.7591,1.1865,0.0007328,0.0007328,0.0007328
66,109.264,1.03793,0.66326,1.05206,0.95013,0.84706,0.93295,0.60976,1.2378,0.77182,1.16393,0.000713,0.000713,0.000713
67,110.908,0.96847,0.64007,1.01682,0.89586,0.94118,0.94618,0.61253,1.21426,0.77075,1.15361,0.0006932,0.0006932,0.0006932
68,112.548,1.0069,0.68733,1.0664,0.9195,0.94118,0.9599,0.62639,1.20449,0.72453,1.15322,0.0006734,0.0006734,0.0006734
69,114.188,0.9705,0.66382,1.02161,0.90822,0.92941,0.96159,0.63181,1.19107,0.70425,1.14843,0.0006536,0.0006536,0.0006536
70,115.862,1.02423,0.67502,1.03552,0.91124,0.92941,0.96176,0.62123,1.21308,0.69337,1.15938,0.0006338,0.0006338,0.0006338
71,117.5,1.01188,0.65218,1.03069,0.92826,0.91345,0.95641,0.62463,1.19073,0.70526,1.15644,0.000614,0.000614,0.000614
72,119.153,0.96481,0.62106,1.00913,0.94025,0.92562,0.93813,0.59933,1.25541,0.77584,1.19407,0.0005942,0.0005942,0.0005942
73,120.784,1.00728,0.65094,1.05253,0.9297,0.93348,0.93911,0.59485,1.27528,0.78019,1.2129,0.0005744,0.0005744,0.0005744
74,122.423,0.95878,0.6292,1.0437,0.9386,0.92941,0.93809,0.60138,1.26308,0.77402,1.21508,0.0005546,0.0005546,0.0005546
75,124.054,0.9794,0.62697,1.02506,0.97466,0.90506,0.93911,0.60602,1.25967,0.74676,1.20926,0.0005348,0.0005348,0.0005348
76,125.71,0.99722,0.63942,1.03121,0.94833,0.91765,0.95405,0.63282,1.24483,0.7066,1.18108,0.000515,0.000515,0.000515
77,127.386,0.98099,0.64259,1.03042,0.97461,0.90588,0.95147,0.64091,1.22093,0.69994,1.17229,0.0004952,0.0004952,0.0004952
78,129.052,0.96216,0.63379,1.01032,0.97034,0.90588,0.94999,0.63184,1.21173,0.69099,1.17357,0.0004754,0.0004754,0.0004754
79,130.689,0.9449,0.59323,1.00881,0.97258,0.90588,0.95454,0.63707,1.19439,0.67837,1.16114,0.0004556,0.0004556,0.0004556
80,132.339,0.94583,0.60636,1.01133,0.97203,0.91765,0.96321,0.64485,1.21887,0.6757,1.16493,0.0004358,0.0004358,0.0004358
81,134.046,0.9337,0.59217,0.99838,0.97021,0.91765,0.96426,0.6453,1.21647,0.66828,1.16207,0.000416,0.000416,0.000416
82,135.712,0.94271,0.58726,1.00906,0.95885,0.90588,0.96469,0.65442,1.20251,0.64833,1.15397,0.0003962,0.0003962,0.0003962
83,137.378,0.92037,0.59857,1.01573,0.95906,0.91765,0.96553,0.64685,1.19376,0.63202,1.14944,0.0003764,0.0003764,0.0003764
84,139.022,0.94904,0.58915,1.01253,0.95871,0.90588,0.96494,0.64743,1.20268,0.63959,1.14284,0.0003566,0.0003566,0.0003566
85,140.646,0.91518,0.59151,0.99938,0.96238,0.90294,0.96559,0.63677,1.20763,0.64329,1.14587,0.0003368,0.0003368,0.0003368
86,142.269,0.92364,0.60249,1.02093,1,0.87422,0.96599,0.63848,1.21597,0.63976,1.14949,0.000317,0.000317,0.000317
87,143.894,0.94444,0.57947,1.0083,0.97146,0.91765,0.96662,0.63485,1.22005,0.63491,1.1511,0.0002972,0.0002972,0.0002972
88,145.531,0.93592,0.58195,1.00003,0.93782,0.92941,0.96485,0.64208,1.20473,0.63227,1.15314,0.0002774,0.0002774,0.0002774
89,147.16,0.92736,0.58646,1.00651,0.9384,0.92941,0.96386,0.64139,1.21718,0.63567,1.16299,0.0002576,0.0002576,0.0002576
90,148.766,0.89852,0.58971,0.99222,0.93884,0.92941,0.96424,0.64434,1.22021,0.63546,1.16426,0.0002378,0.0002378,0.0002378
91,150.929,0.93026,0.6647,1.00406,0.97454,0.90058,0.9641,0.64472,1.21756,0.63084,1.16388,0.000218,0.000218,0.000218
92,152.596,0.90956,0.65125,1.02489,0.94044,0.92884,0.96329,0.63641,1.22407,0.6446,1.17559,0.0001982,0.0001982,0.0001982
93,154.208,0.89108,0.62022,0.98256,0.94019,0.92478,0.96261,0.63502,1.23653,0.65207,1.18613,0.0001784,0.0001784,0.0001784
94,155.819,0.8938,0.62059,0.98872,0.9402,0.92487,0.96274,0.62906,1.23523,0.65904,1.19061,0.0001586,0.0001586,0.0001586
95,157.437,0.87166,0.5939,0.983,0.92881,0.92096,0.95992,0.62629,1.23847,0.66891,1.19892,0.0001388,0.0001388,0.0001388
96,159.059,0.88163,0.588,0.99297,0.91825,0.92509,0.95759,0.62491,1.22797,0.67922,1.19307,0.000119,0.000119,0.000119
97,160.679,0.87607,0.60833,0.995,0.91834,0.92614,0.95692,0.63131,1.22349,0.68224,1.19113,9.92e-05,9.92e-05,9.92e-05
98,162.302,0.87649,0.60521,0.98898,0.91837,0.92647,0.95628,0.63473,1.22161,0.68584,1.18878,7.94e-05,7.94e-05,7.94e-05
99,163.903,0.87146,0.59243,0.98304,0.91831,0.92585,0.95631,0.63548,1.21894,0.68243,1.18571,5.96e-05,5.96e-05,5.96e-05
100,165.521,0.85557,0.58574,0.978,0.91827,0.92535,0.95586,0.6383,1.21707,0.6809,1.18315,3.98e-05,3.98e-05,3.98e-05
